customerID,tenure,Contract,MonthlyCharges,PaymentMethod,TechSupport,InternetService,RiskScore,RiskCategory
4847-TAJYI,6,Month-to-month,89.35,Electronic check,No,Fiber optic,15,Critical Risk
6918-UMQCG,5,Month-to-month,80.2,Electronic check,No,Fiber optic,15,Critical Risk
6350-XFYGW,4,Month-to-month,94.75,Electronic check,No,Fiber optic,15,Critical Risk
6734-GMPVK,5,Month-to-month,105.3,Electronic check,No,Fiber optic,15,Critical Risk
7858-GTZSP,12,Month-to-month,86.55,Electronic check,No,Fiber optic,15,Critical Risk
8734-DKSTZ,10,Month-to-month,85.95,Electronic check,No,Fiber optic,15,Critical Risk
0187-QSXOE,7,Month-to-month,89.0,Electronic check,No,Fiber optic,15,Critical Risk
8242-SOQUO,5,Month-to-month,84.7,Electronic check,No,Fiber optic,15,Critical Risk
8087-LGYHQ,9,Month-to-month,94.05,Electronic check,No,Fiber optic,15,Critical Risk
3462-BJQQA,6,Month-to-month,89.75,Electronic check,No,Fiber optic,15,Critical Risk
7928-VJYAB,11,Month-to-month,90.6,Electronic check,No,Fiber optic,15,Critical Risk
6969-MVBAI,9,Month-to-month,90.1,Electronic check,No,Fiber optic,15,Critical Risk
8739-XNIKG,5,Month-to-month,84.0,Electronic check,No,Fiber optic,15,Critical Risk
7439-DKZTW,1,Month-to-month,80.55,Electronic check,No,Fiber optic,15,Critical Risk
7517-LDMPS,12,Month-to-month,84.6,Electronic check,No,Fiber optic,15,Critical Risk
5168-MSWXT,8,Month-to-month,94.75,Electronic check,No,Fiber optic,15,Critical Risk
4912-PIGUY,1,Month-to-month,84.6,Electronic check,No,Fiber optic,15,Critical Risk
9957-YODKZ,6,Month-to-month,80.8,Electronic check,No,Fiber optic,15,Critical Risk
1173-XZPYF,11,Month-to-month,89.2,Electronic check,No,Fiber optic,15,Critical Risk
4395-PZMSN,5,Month-to-month,85.55,Electronic check,No,Fiber optic,15,Critical Risk
6786-OBWQR,5,Month-to-month,80.85,Electronic check,No,Fiber optic,15,Critical Risk
6357-JJPQT,3,Month-to-month,80.5,Electronic check,No,Fiber optic,15,Critical Risk
3489-HHPFY,2,Month-to-month,84.05,Electronic check,No,Fiber optic,15,Critical Risk
8622-ZLFKO,6,Month-to-month,90.75,Electronic check,No,Fiber optic,15,Critical Risk
2018-QKYGT,1,Month-to-month,81.05,Electronic check,No,Fiber optic,15,Critical Risk
3318-NMQXL,3,Month-to-month,92.0,Electronic check,No,Fiber optic,15,Critical Risk
4927-WWOOZ,2,Month-to-month,91.45,Electronic check,No,Fiber optic,15,Critical Risk
2123-AGEEN,7,Month-to-month,84.35,Electronic check,No,Fiber optic,15,Critical Risk
7145-FEJWU,12,Month-to-month,105.3,Electronic check,No,Fiber optic,15,Critical Risk
0225-ZORZP,3,Month-to-month,84.3,Electronic check,No,Fiber optic,15,Critical Risk
8800-JOOCF,12,Month-to-month,84.05,Electronic check,No,Fiber optic,15,Critical Risk
7398-SKNQZ,3,Month-to-month,94.9,Electronic check,No,Fiber optic,15,Critical Risk
1960-UYCNN,10,Month-to-month,95.25,Electronic check,No,Fiber optic,15,Critical Risk
6630-UJZMY,4,Month-to-month,83.25,Electronic check,No,Fiber optic,15,Critical Risk
1628-BIZYP,1,Month-to-month,85.0,Electronic check,No,Fiber optic,15,Critical Risk
4566-NECEV,5,Month-to-month,96.55,Electronic check,No,Fiber optic,15,Critical Risk
1508-DFXCU,12,Month-to-month,81.45,Electronic check,No,Fiber optic,15,Critical Risk
2545-EBUPK,2,Month-to-month,84.05,Electronic check,No,Fiber optic,15,Critical Risk
2789-HQBOU,3,Month-to-month,80.35,Electronic check,No,Fiber optic,15,Critical Risk
2657-VPXTA,10,Month-to-month,88.85,Electronic check,No,Fiber optic,15,Critical Risk
0258-NOKBL,3,Month-to-month,90.4,Electronic check,No,Fiber optic,15,Critical Risk
5150-ITWWB,3,Month-to-month,94.85,Electronic check,No,Fiber optic,15,Critical Risk
3797-FKOGQ,11,Month-to-month,86.2,Electronic check,No,Fiber optic,15,Critical Risk
7577-SWIFR,1,Month-to-month,89.25,Electronic check,No,Fiber optic,15,Critical Risk
0570-BFQHT,9,Month-to-month,80.55,Electronic check,No,Fiber optic,15,Critical Risk
5348-CAGXB,12,Month-to-month,89.55,Electronic check,No,Fiber optic,15,Critical Risk
1200-TUZHR,8,Month-to-month,85.2,Electronic check,No,Fiber optic,15,Critical Risk
4060-LDNLU,7,Month-to-month,96.2,Electronic check,No,Fiber optic,15,Critical Risk
0315-LVCRK,11,Month-to-month,84.8,Electronic check,No,Fiber optic,15,Critical Risk
3338-CVVEH,12,Month-to-month,94.55,Electronic check,No,Fiber optic,15,Critical Risk
8161-QYMTT,7,Month-to-month,94.1,Electronic check,No,Fiber optic,15,Critical Risk
2038-OEQZH,4,Month-to-month,86.05,Electronic check,No,Fiber optic,15,Critical Risk
5429-LWCMV,12,Month-to-month,89.15,Electronic check,No,Fiber optic,15,Critical Risk
1941-HOSAM,1,Month-to-month,90.1,Electronic check,No,Fiber optic,15,Critical Risk
4115-NZRKS,7,Month-to-month,89.15,Electronic check,No,Fiber optic,15,Critical Risk
4884-ZTHVF,8,Month-to-month,87.1,Electronic check,No,Fiber optic,15,Critical Risk
2984-AFWNC,3,Month-to-month,95.4,Electronic check,No,Fiber optic,15,Critical Risk
2215-ZAFGX,9,Month-to-month,85.5,Electronic check,No,Fiber optic,15,Critical Risk
3191-CSNMG,3,Month-to-month,80.7,Electronic check,No,Fiber optic,15,Critical Risk
4273-MBHYA,1,Month-to-month,89.35,Electronic check,No,Fiber optic,15,Critical Risk
7044-YAACC,4,Month-to-month,70.2,Electronic check,No,Fiber optic,13,Critical Risk
0139-IVFJG,2,Month-to-month,90.35,Electronic check,No,Fiber optic,13,Critical Risk
7892-QVYKW,23,Month-to-month,85.6,Electronic check,No,Fiber optic,13,Critical Risk
9054-FOWNV,22,Month-to-month,88.75,Electronic check,No,Fiber optic,13,Critical Risk
6986-IXNDM,14,Month-to-month,92.9,Electronic check,No,Fiber optic,13,Critical Risk
2959-FENLU,9,Month-to-month,85.3,Credit card (automatic),No,Fiber optic,13,Critical Risk
3370-HXOPH,3,Month-to-month,76.1,Electronic check,No,Fiber optic,13,Critical Risk
7278-CKDNC,24,Month-to-month,80.5,Electronic check,No,Fiber optic,13,Critical Risk
2077-MPJQO,7,Month-to-month,75.4,Electronic check,No,Fiber optic,13,Critical Risk
5016-IBERQ,23,Month-to-month,84.25,Electronic check,No,Fiber optic,13,Critical Risk
4123-DVHPH,9,Month-to-month,88.05,Electronic check,No,Fiber optic,13,Critical Risk
5760-IFJOZ,3,Month-to-month,107.95,Mailed check,No,Fiber optic,13,Critical Risk
9779-DPNEJ,22,Month-to-month,80.15,Electronic check,No,Fiber optic,13,Critical Risk
7394-LWLYN,2,Month-to-month,70.15,Electronic check,No,Fiber optic,13,Critical Risk
3452-GWUIN,19,Month-to-month,94.95,Electronic check,No,Fiber optic,13,Critical Risk
3496-LFSZU,4,Month-to-month,70.5,Electronic check,No,Fiber optic,13,Critical Risk
6458-CYIDZ,5,Month-to-month,80.7,Electronic check,No,Fiber optic,13,Critical Risk
1379-FRVEB,15,Month-to-month,91.0,Electronic check,No,Fiber optic,13,Critical Risk
0644-OQMDK,4,Month-to-month,70.65,Electronic check,No,Fiber optic,13,Critical Risk
1302-UHBDD,20,Month-to-month,89.95,Electronic check,No,Fiber optic,13,Critical Risk
5934-RMPOV,22,Month-to-month,84.75,Electronic check,No,Fiber optic,13,Critical Risk
1391-UBDAR,11,Month-to-month,72.9,Electronic check,No,Fiber optic,13,Critical Risk
5628-FCGYG,21,Month-to-month,84.1,Electronic check,No,Fiber optic,13,Critical Risk
4853-OITSN,5,Month-to-month,89.15,Electronic check,No,Fiber optic,13,Critical Risk
2080-GKCWQ,2,Month-to-month,74.95,Electronic check,No,Fiber optic,13,Critical Risk
0916-QOFDP,14,Month-to-month,95.8,Electronic check,No,Fiber optic,13,Critical Risk
9840-EFJQB,1,Month-to-month,74.35,Electronic check,No,Fiber optic,13,Critical Risk
8775-ERLNB,1,Month-to-month,74.3,Electronic check,No,Fiber optic,13,Critical Risk
7206-PQBBZ,11,Month-to-month,70.2,Electronic check,No,Fiber optic,13,Critical Risk
9605-WGJVW,1,Month-to-month,70.2,Electronic check,No,Fiber optic,13,Critical Risk
1689-YQBYY,12,Month-to-month,76.6,Electronic check,No,Fiber optic,13,Critical Risk
8272-ONJLV,12,One year,95.7,Electronic check,No,Fiber optic,13,Critical Risk
5989-PGKJB,16,Month-to-month,86.25,Electronic check,No,Fiber optic,13,Critical Risk
3365-SAIGS,17,Month-to-month,83.55,Electronic check,No,Fiber optic,13,Critical Risk
3427-GGZZI,19,Month-to-month,89.1,Electronic check,No,Fiber optic,13,Critical Risk
6923-JHPMP,2,Month-to-month,80.45,Electronic check,No,Fiber optic,13,Critical Risk
8270-RKSAP,9,Month-to-month,70.5,Electronic check,No,Fiber optic,13,Critical Risk
8035-PWSEV,6,Month-to-month,89.25,Electronic check,Yes,Fiber optic,13,Critical Risk
9314-IJWSQ,14,Month-to-month,84.8,Electronic check,No,Fiber optic,13,Critical Risk
9208-OLGAQ,18,Month-to-month,84.95,Electronic check,No,Fiber optic,13,Critical Risk
3320-VEOYC,14,Month-to-month,95.6,Electronic check,No,Fiber optic,13,Critical Risk
3292-PBZEJ,11,Month-to-month,111.4,Electronic check,Yes,Fiber optic,13,Critical Risk
0455-XFASS,3,Month-to-month,69.55,Electronic check,No,Fiber optic,13,Critical Risk
3223-DWFIO,4,Month-to-month,69.35,Electronic check,No,Fiber optic,13,Critical Risk
0018-NYROU,5,Month-to-month,68.95,Electronic check,No,Fiber optic,13,Critical Risk
7363-QTBIW,9,Month-to-month,79.75,Electronic check,No,Fiber optic,13,Critical Risk
8990-ZXLSU,9,Month-to-month,69.05,Electronic check,No,Fiber optic,13,Critical Risk
0480-BIXDE,19,Month-to-month,96.8,Electronic check,No,Fiber optic,13,Critical Risk
0921-OHLVP,22,Month-to-month,83.05,Electronic check,No,Fiber optic,13,Critical Risk
6198-RTPMF,17,Month-to-month,92.6,Electronic check,No,Fiber optic,13,Critical Risk
8875-AKBYH,20,Month-to-month,84.35,Electronic check,No,Fiber optic,13,Critical Risk
9290-SHCMB,13,Month-to-month,96.85,Electronic check,No,Fiber optic,13,Critical Risk
3420-YJLQT,2,Month-to-month,79.55,Electronic check,No,Fiber optic,13,Critical Risk
7379-FNIUJ,2,Month-to-month,100.2,Electronic check,No,Fiber optic,13,Critical Risk
7326-RIGQZ,6,Month-to-month,69.8,Electronic check,No,Fiber optic,13,Critical Risk
8132-YPVBX,6,Month-to-month,85.95,Mailed check,No,Fiber optic,13,Critical Risk
8118-TJAFG,9,Month-to-month,101.5,Electronic check,Yes,Fiber optic,13,Critical Risk
3916-NRPAP,3,Month-to-month,85.7,Credit card (automatic),No,Fiber optic,13,Critical Risk
7354-OIJLX,9,Month-to-month,75.85,Electronic check,No,Fiber optic,13,Critical Risk
5995-SNNEW,23,Month-to-month,104.45,Electronic check,No,Fiber optic,13,Critical Risk
8714-CTZJW,4,Month-to-month,82.85,Credit card (automatic),No,Fiber optic,13,Critical Risk
6077-BDPXA,3,Month-to-month,70.15,Electronic check,No,Fiber optic,13,Critical Risk
4291-SHSBH,7,Month-to-month,69.55,Electronic check,No,Fiber optic,13,Critical Risk
4299-SIMNS,9,Month-to-month,81.15,Electronic check,No,Fiber optic,13,Critical Risk
7668-XCFYV,17,Month-to-month,92.55,Electronic check,No,Fiber optic,13,Critical Risk
6507-ZJSUR,23,Month-to-month,90.45,Electronic check,No,Fiber optic,13,Critical Risk
8541-QVFKM,8,Month-to-month,73.5,Electronic check,No,Fiber optic,13,Critical Risk
5928-QLDHB,9,Month-to-month,76.25,Electronic check,No,Fiber optic,13,Critical Risk
1251-STYSZ,4,Month-to-month,80.25,Electronic check,No,Fiber optic,13,Critical Risk
6583-KQJLK,15,Month-to-month,94.65,Electronic check,No,Fiber optic,13,Critical Risk
